Date,GOOG,NKE,LMT,CAT,TSLA,AMZN,TMO,CSIQ,HPE,AMD,BHC,ROK,TTWO,DELL,MU,Risk_Free
2017-01-18,806.0700073242188,51.43635177612305,235.39547729492188,86.8915786743164,238.36000061035156,807.47998046875,143.4511260986328,12.4399995803833,12.254599571228027,9.880000114440918,15.109999656677246,131.49412536621094,51.790000915527344,32.4307861328125,22.31999969482422,7.142857142857143e-05
2017-01-19,802.1749877929688,51.10805130004883,238.13790893554688,86.93812561035156,243.75999450683594,809.0399780273438,143.11399841308594,12.489999771118164,12.206353187561035,9.770000457763672,14.899999618530273,131.5316925048828,51.790000915527344,32.56367492675781,21.709999084472656,7.142857142857143e-05
2017-01-20,805.02001953125,51.36875915527344,238.78646850585938,88.05535125732422,244.72999572753906,808.3300170898438,142.3107452392578,12.539999961853027,12.265320777893066,9.75,14.729999542236328,132.05780029296875,52.349998474121094,32.81284713745117,21.959999084472656,7.142857142857143e-05
2017-01-23,819.3099975585938,51.40739059448242,238.55487060546875,87.94364166259766,248.9199981689453,817.8800048828125,141.59677124023438,12.630000114440918,12.099138259887695,9.90999984741211,13.989999771118164,131.55047607421875,52.15999984741211,32.27021026611328,21.889999389648438,7.142857142857143e-05
2017-01-24,823.8699951171875,51.61015701293945,234.3207550048828,89.600830078125,254.61000061035156,822.4400024414062,139.80191040039062,12.489999771118164,12.27068042755127,10.4399995803833,13.579999923706055,133.43885803222656,53.18000030517578,33.095237731933594,22.850000381469727,7.142857142857143e-05
2017-01-25,835.6699829101562,52.00603103637695,232.5511474609375,91.37906646728516,254.47000122070312,836.52001953125,141.23977661132812,12.579999923706055,12.318928718566895,10.350000381469727,13.989999771118164,143.7547149658203,53.880001068115234,33.25581359863281,23.559999465942383,7.142857142857143e-05
2017-01-26,832.1500244140625,51.80327606201172,236.22933959960938,90.51323699951172,252.50999450683594,839.1500244140625,141.9041748046875,12.529999732971191,12.12594223022461,10.520000457763672,13.619999885559082,143.670166015625,53.75,33.00664520263672,23.520000457763672,7.142857142857143e-05
2017-01-27,823.3099975585938,51.359100341796875,234.8673858642578,92.16110229492188,252.9499969482422,835.77001953125,144.2345428466797,12.579999923706055,12.08841609954834,10.670000076293945,13.470000267028809,141.6314239501953,53.689998626708984,34.634552001953125,23.969999313354492,7.142857142857143e-05
2017-01-30,802.3200073242188,51.252891540527344,234.24659729003906,90.1128921508789,250.6300048828125,830.3800048828125,142.0926055908203,11.75,11.873988151550293,10.609999656677246,13.329999923706055,140.27853393554688,53.4900016784668,34.57364273071289,24.18000030517578,7.142857142857143e-05
2017-01-31,796.7899780273438,51.07908248901367,232.8568878173828,89.06085205078125,251.92999267578125,823.47998046875,151.11651611328125,11.710000038146973,12.158105850219727,10.369999885559082,13.779999732971191,139.03839111328125,53.650001525878906,34.8781852722168,24.110000610351562,7.142857142857143e-05
